y	x	key	showSelected1	group
3.11764705882353	53	187	187	-1
3.08571428571429	54	187	187	-1
3.05555555555556	55	187	187	-1
3.11111111111111	56	187	187	-1
3.08108108108108	57	187	187	-1
3.05263157894737	58	187	187	-1
3.02564102564103	59	187	187	-1
3	60	187	187	-1
2.97560975609756	61	187	187	-1
2.95238095238095	62	187	187	-1
2.93023255813954	63	187	187	-1
2.97674418604651	64	187	187	-1
3.02325581395349	65	187	187	-1
3	66	187	187	-1
2.97777777777778	67	187	187	-1
2.95652173913043	68	187	187	-1
3	69	187	187	-1
3.04347826086957	70	187	187	-1
3.02127659574468	71	187	187	-1
3.06382978723404	72	187	187	-1
3.04166666666667	73	187	187	-1
3.02040816326531	74	187	187	-1
3.06122448979592	75	187	187	-1
3.04	76	187	187	-1
3.01960784313726	77	187	187	-1
3	78	187	187	-1
3.03846153846154	79	187	187	-1
3.07692307692308	80	187	187	-1
3.11538461538462	81	187	187	-1
3.15384615384615	82	187	187	-1
3.13207547169811	83	187	187	-1
3.11111111111111	84	187	187	-1
3.14814814814815	85	187	187	-1
3.18518518518519	86	187	187	-1
3.16363636363636	87	187	187	-1
3.14285714285714	88	187	187	-1
3.17857142857143	89	187	187	-1
3.21428571428571	90	187	187	-1
3.19298245614035	91	187	187	-1
3.2280701754386	92	187	187	-1
3.20689655172414	93	187	187	-1
3.1864406779661	94	187	187	-1
3.16666666666667	95	187	187	-1
3.14754098360656	96	187	187	-1
3.12903225806452	97	187	187	-1
3.11111111111111	98	187	187	-1
3.09375	99	187	187	-1
3.07692307692308	100	187	187	-1
3.06060606060606	101	187	187	-1
3.04477611940299	102	187	187	-1
3.07462686567164	103	187	187	-1
3.1044776119403	104	187	187	-1
3.13432835820896	105	187	187	-1
3.16417910447761	106	187	187	-1
3.14705882352941	107	187	187	-1
3.1304347826087	108	187	187	-1
3.11428571428571	109	187	187	-1
3.09859154929577	110	187	187	-1
3.08333333333333	111	187	187	-1
3.06849315068493	112	187	187	-1
3.0958904109589	113	187	187	-1
3.08108108108108	114	187	187	-1
3.10810810810811	115	187	187	-1
3.13513513513514	116	187	187	-1
3.12	117	187	187	-1
3.10526315789474	118	187	187	-1
3.13157894736842	119	187	187	-1
3.11688311688312	120	187	187	-1
3.14285714285714	121	187	187	-1
3.12820512820513	122	187	187	-1
3.11392405063291	123	187	187	-1
3.13924050632911	124	187	187	-1
3.125	125	187	187	-1
3.11111111111111	126	187	187	-1
3.09756097560976	127	187	187	-1
3.08433734939759	128	187	187	-1
3.10843373493976	129	187	187	-1
3.0952380952381	130	187	187	-1
3.08235294117647	131	187	187	-1
3.06976744186047	132	187	187	-1
3.09302325581395	133	187	187	-1
3.08045977011494	134	187	187	-1
3.06818181818182	135	187	187	-1
3.0561797752809	136	187	187	-1
3.04444444444444	137	187	187	-1
3.03296703296703	138	187	187	-1
3.05494505494505	139	187	187	-1
3.07692307692308	140	187	187	-1
3.06521739130435	141	187	187	-1
3.08695652173913	142	187	187	-1
3.10869565217391	143	187	187	-1
3.09677419354839	144	187	187	-1
3.08510638297872	145	187	187	-1
3.1063829787234	146	187	187	-1
3.09473684210526	147	187	187	-1
3.11578947368421	148	187	187	-1
3.10416666666667	149	187	187	-1
3.09278350515464	150	187	187	-1
3.08163265306122	151	187	187	-1
3.07070707070707	152	187	187	-1
3.06	153	187	187	-1
3.04950495049505	154	187	187	-1
3.06930693069307	155	187	187	-1
3.05882352941176	156	187	187	-1
3.07843137254902	157	187	187	-1
3.06796116504854	158	187	187	-1
3.05769230769231	159	187	187	-1
3.04761904761905	160	187	187	-1
3.0377358490566	161	187	187	-1
3.02803738317757	162	187	187	-1
3.01851851851852	163	187	187	-1
3.00917431192661	164	187	187	-1
3	165	187	187	-1
3.01818181818182	166	187	187	-1
3.00900900900901	167	187	187	-1
3	168	187	187	-1
2.99115044247788	169	187	187	-1
2.98245614035088	170	187	187	-1
2.97391304347826	171	187	187	-1
2.99130434782609	172	187	187	-1
3.00869565217391	173	187	187	-1
3	174	187	187	-1
2.99145299145299	175	187	187	-1
2.98305084745763	176	187	187	-1
3	177	187	187	-1
2.99159663865546	178	187	187	-1
2.98333333333333	179	187	187	-1
