y	x	key	label	showSelected1	group
2	1	1	π = 2.000000	1	-1
4	2	2	π = 4.000000	2	-1
6	3	3	π = 6.000000	3	-1
8	4	4	π = 8.000000	4	-1
5	5	5	π = 5.000000	5	-1
4	6	6	π = 4.000000	6	-1
4.66666666666667	7	7	π = 4.666667	7	-1
4	8	8	π = 4.000000	8	-1
3.6	9	9	π = 3.600000	9	-1
3.33333333333333	10	10	π = 3.333333	10	-1
3.14285714285714	11	11	π = 3.142857	11	-1
3	12	12	π = 3.000000	12	-1
2.88888888888889	13	13	π = 2.888889	13	-1
3.11111111111111	14	14	π = 3.111111	14	-1
3.33333333333333	15	15	π = 3.333333	15	-1
3.2	16	16	π = 3.200000	16	-1
3.4	17	17	π = 3.400000	17	-1
3.27272727272727	18	18	π = 3.272727	18	-1
3.16666666666667	19	19	π = 3.166667	19	-1
3.33333333333333	20	20	π = 3.333333	20	-1
3.23076923076923	21	21	π = 3.230769	21	-1
3.14285714285714	22	22	π = 3.142857	22	-1
3.28571428571429	23	23	π = 3.285714	23	-1
3.2	24	24	π = 3.200000	24	-1
3.125	25	25	π = 3.125000	25	-1
3.05882352941176	26	26	π = 3.058824	26	-1
3	27	27	π = 3.000000	27	-1
2.94736842105263	28	28	π = 2.947368	28	-1
2.9	29	29	π = 2.900000	29	-1
